[00:11:16.411] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'cr_weight': 0.1,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_runs/vema',
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet',
 'model2': 'unet',
 'num_classes': 4,
 'p_cm': 0.3,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[00:11:16.905] Total silices is: 1312, labeled slices is: 68
[00:11:16.905] 103 iterations per epoch
[00:11:19.374] iteration:1  t-loss1/2:1.3606/1.0279, loss-lb1/2:1.3512/1.0189, loss-ulb1/2:0.7033/0.6670, weight:0.01, lr:0.0010
[00:11:19.715] iteration:2  t-loss1/2:1.2562/0.9557, loss-lb1/2:1.2464/0.9464, loss-ulb1/2:0.7264/0.6877, weight:0.01, lr:0.0010
[00:11:20.049] iteration:3  t-loss1/2:1.1946/0.8950, loss-lb1/2:1.1841/0.8860, loss-ulb1/2:0.7817/0.6701, weight:0.01, lr:0.0010
[00:11:20.488] iteration:4  t-loss1/2:1.1255/0.8508, loss-lb1/2:1.1143/0.8413, loss-ulb1/2:0.8273/0.7040, weight:0.01, lr:0.0010
[00:11:20.823] iteration:5  t-loss1/2:1.0865/0.7934, loss-lb1/2:1.0758/0.7850, loss-ulb1/2:0.7958/0.6272, weight:0.01, lr:0.0010
[00:11:21.157] iteration:6  t-loss1/2:1.0025/0.7580, loss-lb1/2:0.9916/0.7496, loss-ulb1/2:0.8123/0.6241, weight:0.01, lr:0.0010
[00:11:21.356] iteration:7  t-loss1/2:1.0491/0.7251, loss-lb1/2:1.0380/0.7155, loss-ulb1/2:0.8237/0.7128, weight:0.01, lr:0.0010
[00:11:21.555] iteration:8  t-loss1/2:0.9630/0.6833, loss-lb1/2:0.9529/0.6733, loss-ulb1/2:0.7482/0.7407, weight:0.01, lr:0.0010
[00:11:21.891] iteration:9  t-loss1/2:0.8999/0.6349, loss-lb1/2:0.8895/0.6267, loss-ulb1/2:0.7687/0.6044, weight:0.01, lr:0.0010
[00:11:22.089] iteration:10  t-loss1/2:0.8822/0.6015, loss-lb1/2:0.8716/0.5935, loss-ulb1/2:0.7881/0.5923, weight:0.01, lr:0.0010
[00:11:22.282] iteration:11  t-loss1/2:0.8495/0.5709, loss-lb1/2:0.8400/0.5614, loss-ulb1/2:0.7034/0.7040, weight:0.01, lr:0.0010
[00:11:22.618] iteration:12  t-loss1/2:0.8090/0.5478, loss-lb1/2:0.7986/0.5390, loss-ulb1/2:0.7724/0.6484, weight:0.01, lr:0.0010
[00:11:22.811] iteration:13  t-loss1/2:0.8058/0.5172, loss-lb1/2:0.7952/0.5093, loss-ulb1/2:0.7883/0.5899, weight:0.01, lr:0.0010
[00:11:23.146] iteration:14  t-loss1/2:0.7519/0.4857, loss-lb1/2:0.7415/0.4773, loss-ulb1/2:0.7698/0.6212, weight:0.01, lr:0.0010
[00:11:23.481] iteration:15  t-loss1/2:0.6866/0.4715, loss-lb1/2:0.6762/0.4632, loss-ulb1/2:0.7705/0.6173, weight:0.01, lr:0.0010
